Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,City
280000,490,51,2,2,1,1,1,0,0,0,Tremembé,sale,apartment,-23.456348,-46.620801,São Paulo
690000,731,80,2,2,1,1,0,0,0,0,Bela Vista,sale,apartment,-23.566084,-46.650795,São Paulo
439000,800,90,3,2,1,1,0,0,1,0,Vila Sônia,sale,apartment,-23.600132,-46.731245,São Paulo
270000,0,62,2,2,1,1,1,0,0,0,Cangaíba,sale,apartment,-23.508423,-46.530246,São Paulo
305000,670,63,3,1,0,1,0,0,1,0,Cidade Ademar,sale,apartment,-23.6666429,-46.672307,São Paulo
250000,690,78,3,1,0,1,0,0,0,0,Jabaquara,sale,apartment,-23.6572867,-46.6473897,São Paulo
128000,100,56,3,2,1,1,0,0,0,0,Guaianazes,sale,apartment,-23.562851,-46.406731,São Paulo
1900000,1479,159,4,4,3,2,0,0,1,0,Consolação,sale,apartment,-23.5505199,-46.6333094,São Paulo
3400000,4200,255,4,6,4,4,1,0,1,0,Perdizes,sale,apartment,-23.533583,-46.663631,São Paulo
169900,150,37,2,2,1,1,1,0,0,0,José Bonifácio,sale,apartment,-23.563996,-46.426201,São Paulo
1500000,1350,192,3,5,3,3,1,0,1,0,Pari,sale,apartment,-23.542837,-46.551925,São Paulo
4790000,2670,290,4,3,2,2,0,0,0,0,Consolação,sale,apartment,-23.5638355,-46.6697716,São Paulo
418000,620,70,3,2,1,2,1,1,1,0,Carrão,sale,apartment,-23.557658,-46.539919,São Paulo
424000,0,101,3,2,1,2,0,0,1,0,Tucuruvi,sale,apartment,-23.4790981,-46.6083118,São Paulo
448500,520,75,3,2,1,2,1,0,1,0,Freguesia do Ó,sale,apartment,-23.505254,-46.699886,São Paulo
650000,0,67,2,2,1,1,1,0,0,1,Vila Madalena,sale,apartment,-23.56215,-46.692518,São Paulo
210000,0,57,3,2,1,1,0,0,0,0,Itaim Paulista,sale,apartment,-23.512489,-46.393822,São Paulo
278000,0,64,3,2,1,1,1,0,0,0,Pirituba,sale,apartment,-23.50241,-46.716457,São Paulo
300000,560,46,2,2,1,1,1,0,1,0,São Domingos,sale,apartment,-23.505628,-46.74372,São Paulo
285000,452,53,2,1,0,0,1,0,0,0,Bela Vista,sale,apartment,-23.5586445268,-46.6443698657,São Paulo
600000,840,80,2,2,1,2,0,0,1,0,Tremembé,sale,apartment,-23.464107,-46.60113,São Paulo
270000,600,63,2,1,0,1,0,0,1,0,Campo Limpo,sale,apartment,0.0,0.0,São Paulo
529000,690,63,2,2,1,1,1,0,1,0,Cambuci,sale,apartment,-23.560431,-46.622947,São Paulo
369000,430,68,3,2,1,1,0,1,1,0,Limão,sale,apartment,-23.500056,-46.679888,São Paulo
691000,1835,75,3,2,1,2,0,0,0,0,Liberdade,sale,apartment,-23.5693844,-46.6340343,São Paulo
355000,280,56,2,2,1,1,0,0,1,0,Sapopemba,sale,apartment,-23.58575,-46.533612,São Paulo
139900,100,45,2,1,0,1,0,0,0,0,Guaianazes,sale,apartment,0.0,0.0,São Paulo
450000,623,71,3,2,1,2,0,0,0,0,Casa Verde,sale,apartment,-23.4922795,-46.6470328,São Paulo
178000,250,57,2,1,0,1,0,0,0,0,São Mateus,sale,apartment,0.0,0.0,São Paulo
425000,720,64,3,2,1,2,1,0,1,0,Anhanguera,sale,apartment,-23.660743,-46.686148,São Paulo
308177,0,51,2,2,1,1,1,0,1,0,Vila Maria,sale,apartment,-23.520022,-46.585373,São Paulo
770000,1026,93,3,3,1,2,0,0,1,0,Barra Funda,sale,apartment,-23.5301471,-46.653243,São Paulo
339000,350,53,2,2,1,1,1,0,1,0,Limão,sale,apartment,-23.499021,-46.679631,São Paulo
550000,800,111,2,1,0,0,0,0,0,0,Santa Cecília,sale,apartment,-23.5327823,-46.6488511,São Paulo
320000,510,70,2,1,0,1,0,0,0,0,Bela Vista,sale,apartment,-23.5539556,-46.6480252,São Paulo
420000,450,67,3,2,1,1,0,0,1,0,Tucuruvi,sale,apartment,-23.476017,-46.60725,São Paulo
265000,598,44,1,2,1,1,0,0,0,0,República,sale,apartment,-23.543623,-46.640101,São Paulo
850000,1200,160,4,5,3,2,0,0,1,0,Cidade Dutra,sale,apartment,-23.714221,-46.704675,São Paulo
180000,0,37,1,2,1,1,0,0,0,0,Vila Matilde,sale,apartment,-23.539603,-46.528934,São Paulo
235000,300,38,1,1,0,1,0,0,1,0,Belém,sale,apartment,0.0,0.0,São Paulo
479000,600,70,3,2,1,1,0,0,1,0,Mooca,sale,apartment,-23.5630818,-46.5819273,São Paulo
125000,100,46,2,2,1,1,0,0,0,0,Raposo Tavares,sale,apartment,-23.598064,-46.776356,São Paulo
450000,1,110,3,2,1,1,0,0,1,0,Tatuapé,sale,apartment,-23.5366304,-46.5793325,São Paulo
750000,780,78,2,1,0,1,0,1,0,0,Liberdade,sale,apartment,-23.5635933,-46.6416222,São Paulo
240000,50,45,2,2,1,1,0,0,0,0,Artur Alvim,sale,apartment,-23.541762,-46.479646,São Paulo
7500000,0,275,4,5,4,4,1,0,1,0,Iguatemi,sale,apartment,-23.596469,-46.680587,São Paulo
130000,0,48,2,2,1,1,0,0,0,0,Perus,sale,apartment,-23.402648,-46.748136,São Paulo
290000,360,50,2,1,0,1,0,0,0,0,Belém,sale,apartment,-23.5459903,-46.5952403,São Paulo
1200000,1089,156,3,5,2,2,1,0,1,0,Jaguaré,sale,apartment,-23.55538,-46.737744,São Paulo
189000,200,37,3,2,1,1,1,0,0,1,Vila Matilde,sale,apartment,-23.535272,-46.532179,São Paulo
1300000,1000,115,3,4,1,1,1,0,0,0,Jardim Paulista,sale,apartment,-23.566555,-46.662922,São Paulo
170000,153,48,2,2,1,1,0,0,0,0,Artur Alvim,sale,apartment,-23.550188,-46.489434,São Paulo
1100000,1260,130,3,3,1,2,1,0,1,0,Campo Belo,sale,apartment,-23.612314,-46.676758,São Paulo
350000,550,91,4,2,1,1,0,0,0,0,Tatuapé,sale,apartment,-23.531649,-46.570282,São Paulo
470000,550,69,3,2,1,1,0,1,0,0,Vila Prudente,sale,apartment,-23.5946984,-46.577694,São Paulo
413400,550,82,3,3,1,2,1,0,0,0,Jaguaré,sale,apartment,-23.533126,-46.757068,São Paulo
1050000,700,70,1,2,1,2,1,1,1,0,Itaim Bibi,sale,apartment,-23.596738,-46.677117,São Paulo
650000,1149,124,3,3,1,1,0,0,0,0,Perdizes,sale,apartment,-23.53626,-46.683725,São Paulo
1400000,1400,119,3,4,1,2,1,0,1,0,Brooklin,sale,apartment,-23.600008,-46.687864,São Paulo
2590000,2056,193,3,4,3,2,0,0,0,0,Jardim Paulista,sale,apartment,-1.3641735,-48.2698339,São Paulo
510000,500,64,2,2,1,2,1,1,1,0,Vila Guilherme,sale,apartment,-23.502976,-46.610452,São Paulo
2100000,2200,280,2,2,1,1,0,1,0,0,Bela Vista,sale,apartment,-23.5602215,-46.654251,São Paulo
580000,465,60,1,2,1,1,0,0,1,0,Bela Vista,sale,apartment,0.0,0.0,São Paulo
1950000,1600,138,2,3,2,2,0,0,0,0,Brooklin,sale,apartment,-23.6172149,-46.6840777,São Paulo
440000,510,38,1,2,1,1,0,1,1,0,Bela Vista,sale,apartment,-23.554551,-46.653335,São Paulo
700000,1200,89,2,1,0,1,0,0,0,0,Perdizes,sale,apartment,-23.5381849,-46.6669834,São Paulo
