Price,Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Property Type,Latitude,Longitude,City
2200,700,80,3,2,1,2,0,0,0,0,Jaguaré,rent,apartment,-23.5521376,-46.7430944,São Paulo
9000,1600,184,3,4,3,3,0,0,1,0,Campo Belo,rent,apartment,0.0,0.0,São Paulo
2400,500,33,1,2,1,1,0,1,1,0,Barra Funda,rent,apartment,-23.5318985,-46.657785,São Paulo
2300,0,280,3,2,1,2,0,0,0,0,Campo Limpo,rent,apartment,-23.647296,-46.759902,São Paulo
1900,0,48,1,2,1,1,1,1,0,0,São Rafael,rent,apartment,-23.547636,-46.635986,São Paulo
1000,400,50,2,2,1,1,0,0,0,0,Cidade Ademar,rent,apartment,-23.662348,-46.674467,São Paulo
1250,268,37,1,1,0,1,0,0,0,0,Cambuci,rent,apartment,-23.5630354,-46.616197,São Paulo
2200,966,55,1,2,1,1,1,1,0,0,Vila Mariana,rent,apartment,-23.585857,-46.63386,São Paulo
1500,420,65,3,2,1,1,0,0,0,0,Mandaqui,rent,apartment,-23.469599,-46.65017,São Paulo
1200,0,40,1,1,0,0,0,0,0,0,Vila Guilherme,rent,apartment,-23.5128992,-46.6086883,São Paulo
1600,480,75,3,2,1,1,1,0,0,0,Tatuapé,rent,apartment,-23.548901,-46.5737361,São Paulo
1400,510,68,3,2,1,1,1,1,1,0,Campo Limpo,rent,apartment,-23.620104,-46.761598,São Paulo
1500,730,70,3,2,1,1,0,0,0,0,Penha,rent,apartment,-23.522244,-46.550598,São Paulo
1200,320,49,2,1,0,1,0,0,0,0,Pirituba,rent,apartment,-23.4990251,-46.7251586,São Paulo
1750,450,64,2,2,1,1,1,0,1,0,Jardim Ângela,rent,apartment,-23.604294,-46.518325,São Paulo
1900,1060,90,3,2,1,2,0,0,1,0,Casa Verde,rent,apartment,-23.5001201,-46.6276055,São Paulo
3000,1250,173,2,1,0,1,0,0,0,0,Jardim Paulista,rent,apartment,-23.567613,-46.6586001,São Paulo
1500,375,55,2,2,1,1,1,0,1,0,Cidade Líder,rent,apartment,-23.564779,-46.476772,São Paulo
1600,542,65,3,2,1,1,0,0,0,0,Sapopemba,rent,apartment,-23.585253,-46.533766,São Paulo
1800,310,83,3,2,1,1,1,0,0,0,Socorro,rent,apartment,-23.686913,-46.702276,São Paulo
1200,590,50,2,1,0,0,0,0,0,0,Liberdade,rent,apartment,-23.5612983,-46.636277,São Paulo
1000,750,58,2,2,1,1,1,0,1,0,Penha,rent,apartment,-23.520394,-46.533614,São Paulo
500,0,50,1,2,1,1,0,0,0,0,Cidade Líder,rent,apartment,-23.559095,-46.48816,São Paulo
1000,500,70,2,2,1,1,1,0,0,0,Brasilândia,rent,apartment,-23.471708,-46.687679,São Paulo
2700,532,66,3,2,1,2,0,0,1,0,Vila Andrade,rent,apartment,-23.627557,-46.747131,São Paulo
850,0,40,2,2,1,1,0,0,0,0,São Mateus,rent,apartment,-23.602055,-46.478151,São Paulo
1500,430,42,2,2,1,1,0,0,0,0,Brás,rent,apartment,-23.537216,-46.605312,São Paulo
1200,0,59,2,2,1,1,0,0,0,0,Artur Alvim,rent,apartment,-23.547538,-46.48197,São Paulo
1350,120,68,2,2,1,1,0,0,0,0,Anhanguera,rent,apartment,-23.525234,-46.652882,São Paulo
1500,495,63,2,2,1,2,0,0,1,0,Butantã,rent,apartment,-23.5694891,-46.7471502,São Paulo
1100,293,40,1,1,0,0,0,0,0,0,Bela Vista,rent,apartment,-23.5513841,-46.6414892,São Paulo
10500,1750,225,3,3,1,2,1,0,1,0,Consolação,rent,apartment,-23.561621,-46.667625,São Paulo
3500,1100,143,3,5,3,2,1,1,1,0,Rio Pequeno,rent,apartment,-23.565825,-46.756108,São Paulo
2800,0,61,3,2,1,1,1,0,1,0,Vila Formosa,rent,apartment,-23.563519,-46.552494,São Paulo
1200,232,50,2,2,1,1,0,1,0,0,Pirituba,rent,apartment,-23.494374,-46.749137,São Paulo
2250,0,35,1,2,1,1,1,1,1,0,Tatuapé,rent,apartment,-23.543268,-46.56019,São Paulo
850,513,45,1,1,0,0,0,0,0,0,Sé,rent,apartment,-23.5576035,-46.6279384,São Paulo
1800,420,66,3,2,1,1,0,0,0,0,Alto de Pinheiros,rent,apartment,-23.542555,-46.715714,São Paulo
2100,1350,90,2,1,0,1,0,0,0,0,Perdizes,rent,apartment,-23.5327255,-46.666637,São Paulo
3500,1550,166,3,3,1,1,0,0,0,0,Santo Amaro,rent,apartment,-23.635658,-46.695412,São Paulo
6500,1072,103,3,3,2,2,0,0,1,0,Moema,rent,apartment,-23.6059559,-46.6633639,São Paulo
5500,1650,109,2,4,2,2,0,0,1,0,Vila Mariana,rent,apartment,-23.580897,-46.646711,São Paulo
1400,520,63,2,1,0,0,0,0,0,0,Jaguaré,rent,apartment,-23.5568317,-46.7449281,São Paulo
1800,224,90,3,1,0,0,0,0,0,0,Cambuci,rent,apartment,0.0,0.0,São Paulo
3700,1700,165,3,6,3,2,0,0,1,0,Vila Sônia,rent,apartment,-23.598307,-46.730539,São Paulo
9000,2741,250,4,2,1,2,0,0,0,0,Jardim Paulista,rent,apartment,-23.5653546,-46.6638141,São Paulo
2801,600,82,3,2,1,2,0,0,0,0,Água Rasa,rent,apartment,-23.567385,-46.583165,São Paulo
7500,1500,140,3,4,3,2,1,0,1,0,Pinheiros,rent,apartment,-23.56121,-46.688889,São Paulo
1005,200,47,1,2,1,1,1,0,0,0,Penha,rent,apartment,-23.519551,-46.553027,São Paulo
6000,1800,124,3,3,2,2,0,0,1,0,Alto de Pinheiros,rent,apartment,-23.5415717,-46.7047639,São Paulo
2400,360,55,2,1,0,1,0,0,1,0,Brás,rent,apartment,-23.5494259,-46.616415,São Paulo
1000,1400,110,2,2,1,2,0,0,0,0,Vila Andrade,rent,apartment,-23.6290772,-46.7340202,São Paulo
10000,2100,190,4,3,2,3,1,0,1,0,Perdizes,rent,apartment,-23.5351429,-46.6697666,São Paulo
7000,1400,140,3,2,1,2,1,0,1,0,Pinheiros,rent,apartment,-23.5637016,-46.6848775,São Paulo
25000,6000,600,4,5,4,8,0,0,0,0,Moema,rent,apartment,-23.6107631,-46.6579595,São Paulo
